"sample","species","polymer","concentration"
"B24","Myrmecophaga_tridactyla","Polyamide",0
"B24","Myrmecophaga_tridactyla","Polyester",0
"B24","Myrmecophaga_tridactyla","Polyethylene",0
"B24","Myrmecophaga_tridactyla","Polypropylene",0
"B24","Myrmecophaga_tridactyla","Polystyrene",0
"B24","Myrmecophaga_tridactyla","PVC",3.75
"B24","Myrmecophaga_tridactyla","Silicon",0
"B24","Myrmecophaga_tridactyla","Rubber",1.25
"B24","Myrmecophaga_tridactyla","PET",0
"B24","Myrmecophaga_tridactyla","Teflon",0
"B25","Priodontes_maximus","ABS",0
"B25","Priodontes_maximus","Cellulose",6.25
"B25","Priodontes_maximus","Other",0
"B25","Priodontes_maximus","Polyamide",0
"B25","Priodontes_maximus","Teflon",0
"B25","Priodontes_maximus","Polyethylene",0
"B25","Priodontes_maximus","Polypropylene",0
"B25","Priodontes_maximus","Polystyrene",0
"B25","Priodontes_maximus","Polyester",0
"B25","Priodontes_maximus","Silicon",0
"B25","Priodontes_maximus","Rubber",0
"B25","Priodontes_maximus","PET",0
"B25","Priodontes_maximus","PVC",0
"B27","Priodontes_maximus","ABS",0
"B27","Priodontes_maximus","Cellulose",0
"B27","Priodontes_maximus","Other",1.25
"B27","Priodontes_maximus","Polyamide",0
"B27","Priodontes_maximus","Polyester",0
"B27","Priodontes_maximus","Polyethylene",0
"B27","Priodontes_maximus","Polypropylene",0
"B27","Priodontes_maximus","Polystyrene",0
"B27","Priodontes_maximus","PVC",0
"B27","Priodontes_maximus","Silicon",0
"B27","Priodontes_maximus","Rubber",0
"B27","Priodontes_maximus","PET",0
"B27","Priodontes_maximus","Teflon",0
"B28","Priodontes_maximus","ABS",0
"B28","Priodontes_maximus","Cellulose",2.5
"B28","Priodontes_maximus","Other",6.25
"B28","Priodontes_maximus","Polyamide",1.25
"B28","Priodontes_maximus","Polyester",1.25
"B28","Priodontes_maximus","Polyethylene",0
"B28","Priodontes_maximus","Polypropylene",16.25
"B28","Priodontes_maximus","Polystyrene",0
"B28","Priodontes_maximus","PVC",1.25
"B28","Priodontes_maximus","Silicon",1.25
"B28","Priodontes_maximus","Rubber",5
"B28","Priodontes_maximus","PET",0
"B28","Priodontes_maximus","Teflon",0
"B3","Myrmecophaga_tridactyla","ABS",0
"B3","Myrmecophaga_tridactyla","Cellulose",20
"B3","Myrmecophaga_tridactyla","Other",7.5
"B3","Myrmecophaga_tridactyla","Polyamide",2.5
"B3","Myrmecophaga_tridactyla","Polyester",0
"B3","Myrmecophaga_tridactyla","Polyethylene",0
"B3","Myrmecophaga_tridactyla","Polypropylene",2.5
"B3","Myrmecophaga_tridactyla","Polystyrene",0
"B3","Myrmecophaga_tridactyla","PVC",0
"B3","Myrmecophaga_tridactyla","Silicon",0
"B3","Myrmecophaga_tridactyla","Rubber",3.75
"B3","Myrmecophaga_tridactyla","PET",0
"B3","Myrmecophaga_tridactyla","Teflon",32.5
"B31","Tapirus_terrestris","ABS",0
"B31","Tapirus_terrestris","Cellulose",0
"B31","Tapirus_terrestris","Other",1.25
"B31","Tapirus_terrestris","Polyamide",0
"B31","Tapirus_terrestris","Polyester",0
"B31","Tapirus_terrestris","Polyethylene",0
"B31","Tapirus_terrestris","Polypropylene",0
"B31","Tapirus_terrestris","Polystyrene",1.25
"B31","Tapirus_terrestris","PVC",0
"B31","Tapirus_terrestris","Silicon",0
"B31","Tapirus_terrestris","Rubber",0
"B31","Tapirus_terrestris","PET",0
"B31","Tapirus_terrestris","Teflon",0
"B32","Tapirus_terrestris","ABS",0
"B32","Tapirus_terrestris","Cellulose",1.25
"B32","Tapirus_terrestris","Other",0
"B32","Tapirus_terrestris","Polyamide",1.25
"B32","Tapirus_terrestris","Polyester",0
"B32","Tapirus_terrestris","Polyethylene",0
"B32","Tapirus_terrestris","Polypropylene",0
"B32","Tapirus_terrestris","Polystyrene",0
"B32","Tapirus_terrestris","PVC",0
"B32","Tapirus_terrestris","Silicon",0
"B32","Tapirus_terrestris","Rubber",0
"B32","Tapirus_terrestris","PET",0
"B32","Tapirus_terrestris","Teflon",0
"B33","Tapirus_terrestris","ABS",0
"B33","Tapirus_terrestris","Cellulose",8.75
"B33","Tapirus_terrestris","Other",3.75
"B33","Tapirus_terrestris","Polyamide",31.25
"B33","Tapirus_terrestris","Polyester",0
"B33","Tapirus_terrestris","Polyethylene",1.25
"B33","Tapirus_terrestris","Polypropylene",0
"B33","Tapirus_terrestris","Polystyrene",2.5
"B33","Tapirus_terrestris","PVC",0
"B33","Tapirus_terrestris","Silicon",0
"B33","Tapirus_terrestris","Rubber",2.5
"B33","Tapirus_terrestris","PET",0
"B33","Tapirus_terrestris","Teflon",2.5
"B34","Tapirus_terrestris","ABS",0
"B34","Tapirus_terrestris","Cellulose",0
"B34","Tapirus_terrestris","Other",0
"B34","Tapirus_terrestris","Polyamide",0
"B34","Tapirus_terrestris","Polyester",0
"B34","Tapirus_terrestris","Polyethylene",0
"B34","Tapirus_terrestris","Polypropylene",0
"B34","Tapirus_terrestris","Polystyrene",0
"B34","Tapirus_terrestris","PVC",0
"B34","Tapirus_terrestris","Silicon",0
"B34","Tapirus_terrestris","Rubber",0
"B34","Tapirus_terrestris","PET",0
"B34","Tapirus_terrestris","Teflon",0
"B35","Tapirus_terrestris","ABS",0
"B35","Tapirus_terrestris","Cellulose",0
"B35","Tapirus_terrestris","Other",3.75
"B35","Tapirus_terrestris","Polyamide",0
"B35","Tapirus_terrestris","Polyester",0
"B35","Tapirus_terrestris","Polyethylene",0
"B35","Tapirus_terrestris","Polypropylene",0
"B35","Tapirus_terrestris","Polystyrene",0
"B35","Tapirus_terrestris","PVC",0
"B35","Tapirus_terrestris","Silicon",0
"B35","Tapirus_terrestris","Rubber",0
"B35","Tapirus_terrestris","PET",0
"B35","Tapirus_terrestris","Teflon",2.5
"B36","Tapirus_terrestris","ABS",0
"B36","Tapirus_terrestris","Cellulose",7.5
"B36","Tapirus_terrestris","Other",1.25
"B36","Tapirus_terrestris","Polyamide",13.75
"B36","Tapirus_terrestris","Polyester",0
"B36","Tapirus_terrestris","Polyethylene",0
"B36","Tapirus_terrestris","Polypropylene",0
"B36","Tapirus_terrestris","Polystyrene",0
"B36","Tapirus_terrestris","PVC",0
"B36","Tapirus_terrestris","Silicon",0
"B36","Tapirus_terrestris","Rubber",0
"B36","Tapirus_terrestris","PET",0
"B36","Tapirus_terrestris","Teflon",1.25
"B37","Tapirus_terrestris","ABS",0
"B37","Tapirus_terrestris","Cellulose",0
"B37","Tapirus_terrestris","Other",40
"B37","Tapirus_terrestris","Polyamide",0
"B37","Tapirus_terrestris","Polyester",0
"B37","Tapirus_terrestris","Polyethylene",30
"B37","Tapirus_terrestris","Polypropylene",0
"B37","Tapirus_terrestris","Polystyrene",2.5
"B37","Tapirus_terrestris","PVC",0
"B37","Tapirus_terrestris","Silicon",0
"B37","Tapirus_terrestris","Rubber",0
"B37","Tapirus_terrestris","PET",0
"B37","Tapirus_terrestris","Teflon",213.75
"B38","Tapirus_terrestris","ABS",0
"B38","Tapirus_terrestris","Cellulose",0
"B38","Tapirus_terrestris","Other",2.5
"B38","Tapirus_terrestris","Polyamide",0
"B38","Tapirus_terrestris","Polyester",0
"B38","Tapirus_terrestris","Polyethylene",0
"B38","Tapirus_terrestris","Polypropylene",1.25
"B38","Tapirus_terrestris","Polystyrene",0
"B38","Tapirus_terrestris","PVC",0
"B38","Tapirus_terrestris","Silicon",0
"B38","Tapirus_terrestris","Rubber",0
"B38","Tapirus_terrestris","PET",0
"B38","Tapirus_terrestris","Teflon",0
"B39","Tapirus_terrestris","ABS",0
"B39","Tapirus_terrestris","Cellulose",0
"B39","Tapirus_terrestris","Other",1.25
"B39","Tapirus_terrestris","Polyamide",0
"B39","Tapirus_terrestris","Polyester",1.25
"B39","Tapirus_terrestris","Polyethylene",0
"B39","Tapirus_terrestris","Polypropylene",1.25
"B39","Tapirus_terrestris","Polystyrene",0
"B39","Tapirus_terrestris","PVC",1.25
"B39","Tapirus_terrestris","Silicon",0
"B39","Tapirus_terrestris","Rubber",0
"B39","Tapirus_terrestris","PET",0
"B39","Tapirus_terrestris","Teflon",0
"B4","Myrmecophaga_tridactyla","ABS",0
"B4","Myrmecophaga_tridactyla","Cellulose",0
"B4","Myrmecophaga_tridactyla","Other",0
"B4","Myrmecophaga_tridactyla","Polyamide",0
"B4","Myrmecophaga_tridactyla","Polyester",0
"B4","Myrmecophaga_tridactyla","Polyethylene",0
"B4","Myrmecophaga_tridactyla","Polypropylene",0
"B4","Myrmecophaga_tridactyla","Polystyrene",0
"B4","Myrmecophaga_tridactyla","PVC",0
"B4","Myrmecophaga_tridactyla","Silicon",0
"B4","Myrmecophaga_tridactyla","Rubber",0
"B4","Myrmecophaga_tridactyla","PET",0
"B4","Myrmecophaga_tridactyla","Teflon",0
"B40","Tapirus_terrestris","ABS",0
"B40","Tapirus_terrestris","Cellulose",0
"B40","Tapirus_terrestris","Other",0
