"sample","species","biome","polymer","concentration"
"B3","Myrmecophaga_tridactyla","Cerrado","Polypropylene",2.5
"B3","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B3","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B3","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B3","Myrmecophaga_tridactyla","Cerrado","Rubber",3.75
"B3","Myrmecophaga_tridactyla","Cerrado","PET",0
"B3","Myrmecophaga_tridactyla","Cerrado","Teflon",32.5
"B31","Tapirus_terrestris","Pantanal","ABS",0
"B31","Tapirus_terrestris","Pantanal","Cellulose",0
"B31","Tapirus_terrestris","Pantanal","Other",1.25
"B31","Tapirus_terrestris","Pantanal","Polyamide",0
"B31","Tapirus_terrestris","Pantanal","Polyester",0
"B31","Tapirus_terrestris","Pantanal","Polyethylene",0
"B31","Tapirus_terrestris","Pantanal","Polypropylene",0
"B31","Tapirus_terrestris","Pantanal","Polystyrene",1.25
"B31","Tapirus_terrestris","Pantanal","PVC",0
"B31","Tapirus_terrestris","Pantanal","Silicon",0
"B31","Tapirus_terrestris","Pantanal","Rubber",0
"B31","Tapirus_terrestris","Pantanal","PET",0
"B31","Tapirus_terrestris","Pantanal","Teflon",0
"B32","Tapirus_terrestris","Pantanal","ABS",0
"B32","Tapirus_terrestris","Pantanal","Cellulose",1.25
"B32","Tapirus_terrestris","Pantanal","Other",0
"B32","Tapirus_terrestris","Pantanal","Polyamide",1.25
"B32","Tapirus_terrestris","Pantanal","Polyester",0
"B32","Tapirus_terrestris","Pantanal","Polyethylene",0
"B32","Tapirus_terrestris","Pantanal","Polypropylene",0
"B32","Tapirus_terrestris","Pantanal","Polystyrene",0
"B32","Tapirus_terrestris","Pantanal","PVC",0
"B32","Tapirus_terrestris","Pantanal","Silicon",0
"B32","Tapirus_terrestris","Pantanal","Rubber",0
"B32","Tapirus_terrestris","Pantanal","PET",0
"B32","Tapirus_terrestris","Pantanal","Teflon",0
"B33","Tapirus_terrestris","Pantanal","ABS",0
"B33","Tapirus_terrestris","Pantanal","Cellulose",8.75
"B33","Tapirus_terrestris","Pantanal","Other",3.75
"B33","Tapirus_terrestris","Pantanal","Polyamide",31.25
"B33","Tapirus_terrestris","Pantanal","Polyester",0
"B33","Tapirus_terrestris","Pantanal","Polyethylene",1.25
"B33","Tapirus_terrestris","Pantanal","Polypropylene",0
"B33","Tapirus_terrestris","Pantanal","Polystyrene",2.5
"B33","Tapirus_terrestris","Pantanal","PVC",0
"B33","Tapirus_terrestris","Pantanal","Silicon",0
"B33","Tapirus_terrestris","Pantanal","Rubber",2.5
"B33","Tapirus_terrestris","Pantanal","PET",0
"B33","Tapirus_terrestris","Pantanal","Teflon",2.5
"B34","Tapirus_terrestris","Pantanal","ABS",0
"B34","Tapirus_terrestris","Pantanal","Cellulose",0
"B34","Tapirus_terrestris","Pantanal","Other",0
"B34","Tapirus_terrestris","Pantanal","Polyamide",0
"B34","Tapirus_terrestris","Pantanal","Polyester",0
"B34","Tapirus_terrestris","Pantanal","Polyethylene",0
"B34","Tapirus_terrestris","Pantanal","Polypropylene",0
"B34","Tapirus_terrestris","Pantanal","Polystyrene",0
"B34","Tapirus_terrestris","Pantanal","PVC",0
"B34","Tapirus_terrestris","Pantanal","Silicon",0
"B34","Tapirus_terrestris","Pantanal","Rubber",0
"B34","Tapirus_terrestris","Pantanal","PET",0
"B34","Tapirus_terrestris","Pantanal","Teflon",0
"B35","Tapirus_terrestris","Pantanal","ABS",0
"B35","Tapirus_terrestris","Pantanal","Cellulose",0
"B35","Tapirus_terrestris","Pantanal","Other",3.75
"B35","Tapirus_terrestris","Pantanal","Polyamide",0
"B35","Tapirus_terrestris","Pantanal","Polyester",0
"B35","Tapirus_terrestris","Pantanal","Polyethylene",0
"B35","Tapirus_terrestris","Pantanal","Polypropylene",0
"B35","Tapirus_terrestris","Pantanal","Polystyrene",0
"B35","Tapirus_terrestris","Pantanal","PVC",0
"B35","Tapirus_terrestris","Pantanal","Silicon",0
"B35","Tapirus_terrestris","Pantanal","Rubber",0
"B35","Tapirus_terrestris","Pantanal","PET",0
"B35","Tapirus_terrestris","Pantanal","Teflon",2.5
"B36","Tapirus_terrestris","Pantanal","ABS",0
"B36","Tapirus_terrestris","Pantanal","Cellulose",7.5
"B36","Tapirus_terrestris","Pantanal","Other",1.25
"B36","Tapirus_terrestris","Pantanal","Polyamide",13.75
"B36","Tapirus_terrestris","Pantanal","Polyester",0
"B36","Tapirus_terrestris","Pantanal","Polyethylene",0
"B36","Tapirus_terrestris","Pantanal","Polypropylene",0
"B36","Tapirus_terrestris","Pantanal","Polystyrene",0
"B36","Tapirus_terrestris","Pantanal","PVC",0
"B36","Tapirus_terrestris","Pantanal","Silicon",0
"B36","Tapirus_terrestris","Pantanal","Rubber",0
"B36","Tapirus_terrestris","Pantanal","PET",0
"B36","Tapirus_terrestris","Pantanal","Teflon",1.25
"B37","Tapirus_terrestris","Pantanal","ABS",0
"B37","Tapirus_terrestris","Pantanal","Cellulose",0
"B37","Tapirus_terrestris","Pantanal","Other",40
"B37","Tapirus_terrestris","Pantanal","Polyamide",0
"B37","Tapirus_terrestris","Pantanal","Polyester",0
"B37","Tapirus_terrestris","Pantanal","Polyethylene",30
"B37","Tapirus_terrestris","Pantanal","Polypropylene",0
"B37","Tapirus_terrestris","Pantanal","Polystyrene",2.5
"B37","Tapirus_terrestris","Pantanal","PVC",0
"B37","Tapirus_terrestris","Pantanal","Silicon",0
"B37","Tapirus_terrestris","Pantanal","Rubber",0
"B37","Tapirus_terrestris","Pantanal","PET",0
"B37","Tapirus_terrestris","Pantanal","Teflon",213.75
"B38","Tapirus_terrestris","Pantanal","ABS",0
"B38","Tapirus_terrestris","Pantanal","Cellulose",0
"B38","Tapirus_terrestris","Pantanal","Other",2.5
"B38","Tapirus_terrestris","Pantanal","Polyamide",0
"B38","Tapirus_terrestris","Pantanal","Polyester",0
"B38","Tapirus_terrestris","Pantanal","Polyethylene",0
"B38","Tapirus_terrestris","Pantanal","Polypropylene",1.25
"B38","Tapirus_terrestris","Pantanal","Polystyrene",0
"B38","Tapirus_terrestris","Pantanal","PVC",0
"B38","Tapirus_terrestris","Pantanal","Silicon",0
"B38","Tapirus_terrestris","Pantanal","Rubber",0
"B38","Tapirus_terrestris","Pantanal","PET",0
"B38","Tapirus_terrestris","Pantanal","Teflon",0
"B39","Tapirus_terrestris","Pantanal","ABS",0
"B39","Tapirus_terrestris","Pantanal","Cellulose",0
