"species","Width"
"Myrmecophaga_tridactyla",3.3
"Myrmecophaga_tridactyla",9.43
"Myrmecophaga_tridactyla",28.24
"Myrmecophaga_tridactyla",8.63
"Myrmecophaga_tridactyla",3.2
"Myrmecophaga_tridactyla",3.56
"Myrmecophaga_tridactyla",7.36
"Myrmecophaga_tridactyla",14.28
"Myrmecophaga_tridactyla",14.96
"Myrmecophaga_tridactyla",3.47
"Myrmecophaga_tridactyla",4.09
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",11.17
"Myrmecophaga_tridactyla",16.99
"Myrmecophaga_tridactyla",4.62
"Myrmecophaga_tridactyla",5.72
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",1.83
"Myrmecophaga_tridactyla",4.09
"Myrmecophaga_tridactyla",11.43
"Myrmecophaga_tridactyla",1.73
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",7.36
"Myrmecophaga_tridactyla",21.08
"Myrmecophaga_tridactyla",30.32
"Myrmecophaga_tridactyla",5.72
"Myrmecophaga_tridactyla",2.19
"Myrmecophaga_tridactyla",23.32
"Myrmecophaga_tridactyla",6.58
"Myrmecophaga_tridactyla",6.82
"Myrmecophaga_tridactyla",1.81
"Myrmecophaga_tridactyla",12.23
"Myrmecophaga_tridactyla",11.44
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",5.48
"Myrmecophaga_tridactyla",3.17
"Myrmecophaga_tridactyla",21.96
"Myrmecophaga_tridactyla",15.01
"Myrmecophaga_tridactyla",11.38
"Myrmecophaga_tridactyla",6.03
"Myrmecophaga_tridactyla",11.56
"Myrmecophaga_tridactyla",3.17
"Myrmecophaga_tridactyla",28.52
"Myrmecophaga_tridactyla",3.29
"Myrmecophaga_tridactyla",2.04
"Myrmecophaga_tridactyla",5.85
"Myrmecophaga_tridactyla",4.65
"Myrmecophaga_tridactyla",3.71
"Myrmecophaga_tridactyla",4.53
"Myrmecophaga_tridactyla",7.68
"Myrmecophaga_tridactyla",2.45
"Myrmecophaga_tridactyla",55.02
"Myrmecophaga_tridactyla",2.89
"Myrmecophaga_tridactyla",19.67
"Myrmecophaga_tridactyla",2.04
"Myrmecophaga_tridactyla",10.46
"Myrmecophaga_tridactyla",15.49
"Myrmecophaga_tridactyla",22.33
"Myrmecophaga_tridactyla",32.82
"Myrmecophaga_tridactyla",10.63
"Myrmecophaga_tridactyla",59.21
"Myrmecophaga_tridactyla",6.45
"Myrmecophaga_tridactyla",6.94
"Myrmecophaga_tridactyla",21
"Myrmecophaga_tridactyla",7.93
"Myrmecophaga_tridactyla",1.91
"Myrmecophaga_tridactyla",10.41
"Myrmecophaga_tridactyla",16.48
"Myrmecophaga_tridactyla",18.41
"Myrmecophaga_tridactyla",12.79
"Myrmecophaga_tridactyla",45.65
"Myrmecophaga_tridactyla",4.75
"Myrmecophaga_tridactyla",9.53
"Myrmecophaga_tridactyla",18.92
"Myrmecophaga_tridactyla",6.58
"Myrmecophaga_tridactyla",2.31
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",3.63
"Myrmecophaga_tridactyla",21.63
"Myrmecophaga_tridactyla",5.56
"Myrmecophaga_tridactyla",2.45
"Myrmecophaga_tridactyla",3.57
"Myrmecophaga_tridactyla",12.69
"Myrmecophaga_tridactyla",7.37
"Myrmecophaga_tridactyla",2.45
"Myrmecophaga_tridactyla",6.54
"Myrmecophaga_tridactyla",23.74
"Myrmecophaga_tridactyla",2.45
"Myrmecophaga_tridactyla",2.36
"Myrmecophaga_tridactyla",3.47
"Myrmecophaga_tridactyla",4.9
"Myrmecophaga_tridactyla",4.39
"Myrmecophaga_tridactyla",2.58
