"species","Length"
"Myrmecophaga_tridactyla",17.09
"Myrmecophaga_tridactyla",18.78
"Myrmecophaga_tridactyla",5.78
"Myrmecophaga_tridactyla",5.72
"Myrmecophaga_tridactyla",6.54
"Myrmecophaga_tridactyla",4.02
"Myrmecophaga_tridactyla",6.54
"Myrmecophaga_tridactyla",26.06
"Myrmecophaga_tridactyla",4.62
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",12.26
"Myrmecophaga_tridactyla",23.01
"Myrmecophaga_tridactyla",35
"Myrmecophaga_tridactyla",5.72
"Myrmecophaga_tridactyla",3.29
"Myrmecophaga_tridactyla",30.19
"Myrmecophaga_tridactyla",12.06
"Myrmecophaga_tridactyla",9.36
"Myrmecophaga_tridactyla",3.1
"Myrmecophaga_tridactyla",34.02
"Myrmecophaga_tridactyla",12.26
"Myrmecophaga_tridactyla",6.54
"Myrmecophaga_tridactyla",8.77
"Myrmecophaga_tridactyla",3.85
"Myrmecophaga_tridactyla",22.16
"Myrmecophaga_tridactyla",30.44
"Myrmecophaga_tridactyla",18.82
"Myrmecophaga_tridactyla",12.05
"Myrmecophaga_tridactyla",18.49
"Myrmecophaga_tridactyla",9.07
"Myrmecophaga_tridactyla",54.32
"Myrmecophaga_tridactyla",4.75
"Myrmecophaga_tridactyla",4.08
"Myrmecophaga_tridactyla",10.97
"Myrmecophaga_tridactyla",5.93
"Myrmecophaga_tridactyla",9.32
"Myrmecophaga_tridactyla",5.21
"Myrmecophaga_tridactyla",12.06
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",78.3
"Myrmecophaga_tridactyla",2.89
"Myrmecophaga_tridactyla",33.41
"Myrmecophaga_tridactyla",5.44
"Myrmecophaga_tridactyla",14.01
"Myrmecophaga_tridactyla",16.83
"Myrmecophaga_tridactyla",51.51
"Myrmecophaga_tridactyla",70.3
"Myrmecophaga_tridactyla",20.43
"Myrmecophaga_tridactyla",63.49
"Myrmecophaga_tridactyla",9.14
"Myrmecophaga_tridactyla",14.45
"Myrmecophaga_tridactyla",35.97
"Myrmecophaga_tridactyla",18.43
"Myrmecophaga_tridactyla",5.95
"Myrmecophaga_tridactyla",14.77
"Myrmecophaga_tridactyla",30.22
"Myrmecophaga_tridactyla",64.2
"Myrmecophaga_tridactyla",12.79
"Myrmecophaga_tridactyla",76.21
"Myrmecophaga_tridactyla",5.85
"Myrmecophaga_tridactyla",11.63
"Myrmecophaga_tridactyla",43.03
"Myrmecophaga_tridactyla",7.31
"Myrmecophaga_tridactyla",3.47
"Myrmecophaga_tridactyla",4.9
"Myrmecophaga_tridactyla",3.63
"Myrmecophaga_tridactyla",24.82
"Myrmecophaga_tridactyla",7.52
"Myrmecophaga_tridactyla",2.45
"Myrmecophaga_tridactyla",7.93
"Myrmecophaga_tridactyla",15.02
"Myrmecophaga_tridactyla",14.92
"Myrmecophaga_tridactyla",2.45
"Myrmecophaga_tridactyla",8.17
"Myrmecophaga_tridactyla",24.76
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",6.55
"Myrmecophaga_tridactyla",4.05
