"source","length"
"blood",6.32
"blood",7.39
"blood",4.97
"blood",4.92
"blood",7.02
"blood",3.77
"blood",6.58
"blood",8.17
"blood",2.81
"blood",11.96
"blood",6.81
"blood",5.65
"blood",4.21
"blood",4.21
"blood",4.22
"blood",7.45
"blood",10.37
"blood",8.77
"blood",4.92
"blood",5.65
"blood",2.81
"blood",6.32
"blood",17.88
"blood",4.21
"blood",3.46
"blood",4.92
"blood",4.21
"blood",8.43
"blood",2.98
"blood",9.74
"blood",4.21
"blood",4.21
"blood",3.51
"blood",7.33
"blood",4.21
"blood",7.43
"blood",11.42
"blood",9.16
"blood",6.43
"blood",6.28
"blood",2.98
"blood",2.81
"blood",4.92
"blood",5.62
"blood",4.96
"blood",8.76
"blood",3.9
"blood",5.45
"blood",5.66
"blood",15.02
"blood",3.51
"blood",4.92
"blood",3.97
"blood",5.62
"blood",5.62
"blood",8
"blood",3.51
"blood",3.51
"blood",4.71
"blood",4.21
"blood",5.55
"blood",4.21
"blood",4.92
"blood",7.27
"blood",47.44
"blood",50.5
"blood",27.94
"blood",6.53
"blood",12.24
"blood",25.04
"blood",36.49
"blood",7.27
"blood",14.79
"blood",9.17
"blood",10.77
"blood",6.98
"blood",5.8
"blood",5.98
"blood",3.99
"blood",4.99
"blood",5.98
"blood",9.97
"blood",13.54
"blood",4.23
"blood",12.69
"blood",11.28
"blood",15.39
"blood",7.25
"blood",18.33
"blood",14.96
"blood",7.74
"blood",4.99
"blood",15.95
"blood",10.7
"blood",3.99
"blood",7.98
"blood",11.28
"blood",4.99
"blood",6.24
"blood",14.27
"blood",8.53
"blood",12.93
"blood",13.96
"blood",5.98
"blood",14.36
"blood",10.58
"blood",16.32
"blood",11.96
"blood",7.13
"blood",3.53
"blood",9.17
"blood",6.39
"blood",7.18
"blood",7.76
"blood",12.93
"blood",8.9
"blood",8.97
"blood",4.9
"blood",5.35
"blood",5.98
"blood",8.97
"blood",6.69
"blood",14.84
"blood",6.98
"blood",3.99
"blood",6.35
"blood",9.97
"blood",6.98
"blood",18.46
"blood",3.99
"blood",7.98
"blood",14.96
"blood",10.58
"blood",4.99
"blood",7.98
"blood",4.99
"blood",10.97
"blood",7.88
"blood",13.96
"blood",11.15
"blood",3.99
"blood",4.01
"blood",3.99
"blood",11.85
"blood",24.42
"blood",17.18
"blood",5.56
"blood",7.58
"blood",4.73
"blood",9.81
"blood",13.93
"blood",7.88
"blood",4.99
"blood",7.74
"blood",6.35
"blood",8.97
"blood",8.03
"blood",11.98
"blood",5.08
"blood",6.98
"blood",9.97
"blood",12.09
"blood",7.05
"blood",9.97
"blood",4.99
"blood",8.97
"blood",6.48
"blood",8.02
"blood",4.99
"blood",3.99
"blood",8.97
"blood",3.99
"blood",6.98
"blood",3.99
"blood",9.17
"blood",7.98
"blood",8.52
"blood",6.24
"blood",6.98
"blood",18.05
"blood",6.98
"blood",7.58
"blood",7.22
"blood",7.58
"blood",16.21
"blood",7.98
"blood",11.98
"blood",8.03
"blood",12.77
"blood",22.95
"blood",7.47
"blood",21.48
"blood",14.61
"blood",4.99
"blood",13.96
"blood",17.15
"blood",10.97
"blood",5.98
"blood",2.99
"blood",17.17
"blood",12.16
"blood",6.98
"blood",6.98
"blood",11.04
"blood",12.82
"blood",5.64
"blood",11.59
"blood",13.83
"blood",11.59
"blood",10.58
"blood",4.73
"blood",13.96
"blood",10.97
"blood",9.13
"blood",7.05
"blood",8.47
"blood",3.53
"blood",7.74
"blood",4.23
"blood",8.46
"blood",5.04
"blood",4.99
"blood",4.99
"blood",7.98
"blood",4.99
"blood",3.99
"blood",10.97
"blood",6.98
"blood",7.76
"blood",24.44
"blood",4.23
"blood",9.87
"blood",9.95
"blood",9.06
"blood",9.77
"blood",4.46
"blood",5.98
"blood",5.64
"blood",14.96
"blood",9.19
"blood",8.97
"blood",9.97
"blood",10.82
"blood",15.05
"blood",11.59
"blood",12.82
"blood",3.99
"blood",9.17
"blood",10.26
"blood",9.36
"blood",2.99
"blood",7.88
"blood",5.98
"blood",9.46
"blood",7.98
"blood",6.69
"blood",3.99
"blood",12.96
"blood",12.33
"blood",4.99
"blood",6.98
"blood",5.8
"blood",4.98
"blood",6.98
"blood",10.18
"blood",19.32
"blood",12.96
"blood",7.76
"blood",6.98
"blood",5.98
"blood",11.59
"blood",6.35
"blood",18.63
"blood",3.78
"blood",3.53
"blood",25.53
"blood",9.87
"blood",4.23
"blood",5.8
"blood",6.35
"blood",14.1
"blood",4.99
"blood",16.58
"blood",20.94
"blood",7.98
"blood",12.11
"blood",8.97
"blood",3.99
"blood",10.97
"blood",8.41
"blood",15.32
"blood",9.17
"blood",10.39
"blood",7.98
"blood",17.22
"blood",13.27
"blood",6.94
"blood",7.23
"blood",7.57
"blood",10.58
"blood",5.81
"blood",4.23
"blood",8.3
"blood",13.39
"blood",10.26
"blood",12.86
"blood",10
"blood",5.98
"blood",8.22
"blood",20.45
"blood",6.38
