"source","width"
"blood",2.81
"blood",2.81
"blood",2.89
"blood",4.47
"blood",5.92
"blood",3.84
"blood",2.81
"blood",2.53
"blood",2.81
"blood",4.92
"blood",9.2
"blood",2.81
"blood",2.83
"blood",4.92
"blood",2.81
"blood",6.32
"blood",2.98
"blood",4.4
"blood",2.81
"blood",4.21
"blood",2.81
"blood",7.11
"blood",4.21
"blood",3.39
"blood",5.42
"blood",4.53
"blood",3.9
"blood",3.14
"blood",2.48
"blood",2.81
"blood",2.81
"blood",4.21
"blood",2.35
"blood",5.35
"blood",3.51
"blood",3.12
"blood",3.35
"blood",5.63
"blood",2.81
"blood",4.21
"blood",3.48
"blood",3.58
"blood",4.21
"blood",5.87
"blood",2.81
"blood",3.51
"blood",4.4
"blood",3.51
"blood",4.22
"blood",3.51
"blood",2.81
"blood",4.04
"blood",26.69
"blood",35.35
"blood",11.98
"blood",4.08
"blood",7.14
"blood",8.03
"blood",29.19
"blood",3.55
"blood",7.12
"blood",7.76
"blood",6.78
"blood",3.99
"blood",4.01
"blood",4.99
"blood",2.99
"blood",3.99
"blood",3.99
"blood",8.97
"blood",7.01
"blood",3.53
"blood",10.58
"blood",8.46
"blood",13.77
"blood",3.39
"blood",8.74
"blood",10.97
"blood",5.32
"blood",2.99
"blood",7.98
"blood",6.69
"blood",2.99
"blood",6.98
"blood",11.28
"blood",3.99
"blood",5.35
"blood",13.38
"blood",2.72
"blood",10.4
"blood",11.96
"blood",5.98
"blood",6.84
"blood",9.87
"blood",8.91
"blood",10.97
"blood",6.69
"blood",2.82
"blood",4.23
"blood",4.43
"blood",3.79
"blood",4.94
"blood",5.35
"blood",3.83
"blood",4.99
"blood",4.9
"blood",2.68
"blood",5.98
"blood",8.97
"blood",4.46
"blood",5.94
"blood",3.99
"blood",2.99
"blood",5.64
"blood",4.99
"blood",6.98
"blood",14.24
"blood",2.99
"blood",3.99
"blood",10.97
"blood",4.23
"blood",3.99
"blood",4.99
"blood",4.99
"blood",9.97
"blood",3.15
"blood",11.96
"blood",8.47
"blood",3.99
"blood",2.68
"blood",3.99
"blood",5.56
"blood",11.8
"blood",7.82
"blood",2.42
"blood",6.69
"blood",3.15
"blood",6.69
"blood",8.69
"blood",5.36
"blood",4.99
"blood",2.9
"blood",5.64
"blood",7.98
"blood",4.46
"blood",7.76
"blood",2.9
"blood",4.99
"blood",9.97
"blood",9.19
"blood",4.94
"blood",7.98
"blood",3.99
"blood",5.98
"blood",5.92
"blood",5.48
"blood",2.99
"blood",3.99
"blood",8.97
"blood",2.99
"blood",6.98
"blood",2.99
"blood",9.17
"blood",3.99
"blood",3.93
"blood",3.12
"blood",5.98
"blood",16.07
"blood",5.98
"blood",5.38
"blood",2.78
"blood",7.13
"blood",14.1
"blood",6.98
"blood",4.23
"blood",4.46
"blood",8.48
"blood",9.68
"blood",4.42
"blood",12.09
"blood",6.4
"blood",3.99
"blood",12.96
"blood",3.13
"blood",4.99
"blood",2.99
"blood",2.99
